x:image,y:label,y'__0,y'__1,y'__2,y'__3,y'__4,y'__5,y'__6,y'__7,y'__8,y'__9
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\31.png,1,4.4511177e-07,1.0,2.413023e-07,7.128817e-08,4.107587e-08,1.09196435e-05,2.844483e-06,1.34373395e-05,8.593459e-07,7.085154e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\32.png,3,4.731318e-07,7.9930373e-07,2.0351647e-06,1.0,1.1005253e-06,4.946721e-06,7.475047e-07,6.0761283e-07,1.1434282e-06,1.0650156e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\33.png,4,0.045413274,0.0005678402,7.786366e-07,3.3862574e-10,0.9997224,3.8397204e-08,3.914155e-05,2.424028e-06,0.00016349572,1.9770332e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\34.png,7,5.774992e-07,1.6840075e-06,6.743465e-06,1.0341635e-06,1.5475075e-07,1.2934214e-07,2.0345601e-07,1.0,5.028738e-06,9.666265e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\35.png,2,2.745384e-06,2.9716539e-06,1.0,2.287014e-06,3.236581e-07,4.372837e-08,4.7507405e-05,5.6387416e-06,1.9383006e-06,6.10098e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\36.png,7,4.2794676e-07,1.9713136e-06,6.413372e-06,1.1692763e-06,1.3042659e-07,1.3491346e-07,1.7908398e-07,1.0,3.3181893e-06,8.821663e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\37.png,1,3.135081e-06,1.0,2.4658024e-07,7.228798e-08,3.6244253e-07,8.697296e-06,2.189382e-06,1.7286959e-05,8.60375e-07,7.500856e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\38.png,2,1.9466406e-06,3.0443416e-06,1.0,2.8333855e-06,1.1193127e-07,6.483512e-08,8.043955e-05,4.4431545e-06,7.1003734e-07,4.6347068e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\39.png,1,1.5856062e-05,1.0,2.2738797e-07,7.723041e-08,2.0442897e-06,6.8109466e-06,1.9888337e-06,2.3183851e-05,9.5310236e-07,8.012269e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\40.png,1,3.9865904e-07,1.0,2.586338e-07,7.042432e-08,3.9822964e-08,1.1153291e-05,2.5975976e-06,1.279533e-05,7.7446794e-07,6.711302e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\41.png,7,4.84185e-07,2.003748e-06,5.4423926e-06,1.1331794e-06,1.3611873e-07,1.3208212e-07,1.3083796e-07,1.0,3.0597741e-06,8.559707e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\42.png,4,5.384466e-07,1.3617586e-07,3.2631444e-08,1.1890175e-07,0.9999995,3.178777e-06,7.539022e-07,1.0076824e-06,2.6592966e-06,2.3525883e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\43.png,2,3.4770073e-07,6.8680696e-05,1.0,2.1573458e-05,1.288437e-06,5.073349e-07,0.00053280644,1.1106673e-06,4.2210598e-07,7.073057e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\44.png,3,5.547673e-07,8.178342e-07,4.018711e-06,1.0,3.890896e-06,4.9617834e-06,9.077159e-07,7.7541097e-07,2.7061146e-06,1.1342473e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\45.png,5,2.1772132e-07,1.1134779e-05,6.248023e-09,1.288818e-06,2.38058e-06,1.0,1.4385674e-06,4.6119203e-07,7.257669e-06,3.6118695e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\46.png,1,1.384248e-05,1.0,2.2448604e-07,7.950071e-08,1.858534e-06,7.102052e-06,1.9939328e-06,2.2610082e-05,9.859826e-07,7.934322e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\47.png,2,2.1689805e-06,2.7120775e-06,1.0,2.2101276e-06,1.2661913e-07,5.189853e-08,6.222868e-05,4.6237014e-06,8.1077826e-07,5.266551e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\48.png,4,6.607114e-07,1.13043505e-07,3.674041e-08,9.558791e-08,0.9999995,2.6275031e-06,6.0564065e-07,1.1730929e-06,3.1778466e-06,3.0084788e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\49.png,4,8.030254e-07,8.660885e-08,4.141264e-08,7.9556834e-08,0.99999964,2.0240002e-06,4.7915285e-07,1.3171348e-06,3.886735e-06,3.4661316e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\50.png,6,6.058901e-06,1.58904e-06,2.914719e-05,4.8729617e-06,1.21385065e-05,7.184263e-07,1.0,1.9938973e-07,1.8611168e-07,2.503284e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\51.png,3,3.840633e-07,7.232631e-07,1.8324442e-06,1.0,4.6136276e-07,3.7706325e-06,7.468691e-07,5.379082e-07,6.156012e-07,1.2615726e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\52.png,5,2.495128e-07,1.0362622e-05,6.8392962e-09,1.4274405e-06,2.3958924e-06,1.0,1.2929002e-06,4.6514003e-07,6.987626e-06,3.723009e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\53.png,5,2.1704031e-07,9.522715e-06,7.451933e-09,1.4114049e-06,2.3293717e-06,1.0,1.3663406e-06,4.699085e-07,6.3047064e-06,3.7751297e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\54.png,6,4.4632166e-06,2.342542e-06,2.410091e-05,6.8230584e-06,1.0287552e-05,8.158694e-06,0.9999999,2.2306624e-07,2.1978462e-06,3.2570693e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\55.png,0,0.99999964,6.255744e-06,2.6013486e-06,4.153774e-06,1.4639066e-06,2.2140664e-06,3.115057e-05,5.976509e-07,1.147043e-05,5.8531828e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\56.png,4,9.910866e-07,7.009933e-08,4.645929e-08,6.656687e-08,0.99999964,1.6354559e-06,3.9829573e-07,1.4671266e-06,4.607235e-06,4.3356235e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\57.png,1,2.707041e-06,1.0,2.3904278e-07,7.3278045e-08,3.853992e-07,6.7013193e-06,3.2841292e-06,2.3997702e-05,8.53398e-07,8.1273765e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\58.png,9,1.2289003e-07,3.774568e-06,7.219219e-06,1.0440012e-05,5.3878225e-06,1.333449e-06,1.7225009e-08,2.5968593e-06,1.6251724e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\59.png,5,2.4955185e-07,1.0157853e-05,6.915008e-09,1.4132045e-06,2.424192e-06,1.0,1.3336739e-06,5.0136595e-07,7.3002557e-06,3.7045957e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\60.png,7,3.2191783e-05,5.1889206e-06,5.7288435e-06,1.2457224e-06,9.266354e-06,7.1810845e-08,9.396068e-08,1.0,3.6398744e-06,1.22265365e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\8\61.png,8,3.4388825e-07,9.58202e-06,9.889511e-06,2.1133842e-06,3.9329702e-06,4.117344e-06,1.2771904e-06,1.9362024e-05,1.0,1.552541e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\62.png,9,1.1219757e-08,5.2598684e-06,3.4208168e-07,2.0550444e-06,7.3175356e-06,8.0926725e-07,2.1818816e-07,1.224272e-05,6.029337e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\63.png,3,3.6045807e-07,5.3969944e-07,1.7439728e-06,1.0,1.4461739e-07,4.861135e-06,1.6102847e-06,4.8619e-07,6.0501833e-07,1.3588203e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\64.png,7,6.574849e-07,1.7791785e-06,5.487751e-06,1.0100606e-06,1.870002e-07,1.18340985e-07,1.2935732e-07,1.0,3.4067923e-06,9.583409e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\65.png,4,5.078025e-07,8.6415935e-07,1.4755891e-07,8.02117e-08,0.9999962,0.001739174,7.5292354e-07,1.2920003e-06,1.3114643e-06,0.0005841152
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\66.png,6,1.1584887e-06,1.8266377e-06,2.3375776e-05,4.620854e-06,1.9446314e-05,9.04918e-07,0.9999999,3.9122352e-07,1.3793277e-07,1.3455209e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\67.png,4,5.629021e-07,1.3751485e-07,3.655148e-08,1.19157825e-07,0.9999995,3.0915635e-06,6.7941306e-07,9.671934e-07,2.6603316e-06,2.4844412e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\68.png,3,4.2949267e-07,7.781266e-07,1.660051e-06,1.0,3.8212002e-07,4.233406e-06,8.63162e-07,5.0947995e-07,7.455518e-07,1.1823119e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\69.png,0,0.99999976,2.8581431e-05,6.273927e-07,3.4698958e-06,1.0509392e-06,3.86409e-06,7.1048225e-06,1.2525207e-06,3.6906417e-07,4.197702e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\70.png,7,5.0682763e-07,1.661337e-06,5.325459e-06,9.575749e-07,1.3684136e-07,1.2322309e-07,1.3384759e-07,1.0,3.17841e-06,9.388537e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\71.png,0,0.99999964,1.680024e-05,1.3264414e-06,2.035013e-06,1.7389422e-06,1.7659021e-06,1.2859124e-05,4.861946e-07,8.2050127e-07,7.824085e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\72.png,2,2.7040378e-06,3.173213e-06,1.0,3.989769e-06,1.6810809e-07,5.6316516e-08,4.241745e-05,5.950025e-06,7.0690567e-07,4.728503e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\73.png,9,1.41161705e-08,7.399387e-06,6.759071e-07,1.3803888e-06,8.62898e-06,1.1301295e-06,9.217091e-08,6.167122e-06,2.8400975e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\74.png,1,3.0977376e-06,1.0,2.452304e-07,7.190267e-08,3.5345852e-07,8.919598e-06,2.2271347e-06,1.7143162e-05,8.723253e-07,7.509859e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\75.png,7,5.2149375e-07,1.6682179e-06,5.3193935e-06,9.762723e-07,1.417399e-07,1.2225098e-07,1.3249783e-07,1.0,3.1712343e-06,9.483854e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\76.png,3,4.3598084e-07,1.0259013e-06,2.5383176e-06,1.0,1.5319722e-06,3.8410426e-06,5.6224593e-07,7.1263486e-07,1.770992e-06,1.2018894e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\77.png,2,2.4483295e-06,2.3305804e-06,1.0,2.0488217e-06,1.3443966e-07,4.3963876e-08,5.8830166e-05,5.279513e-06,1.035321e-06,5.774992e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\78.png,9,1.1266316e-07,3.939765e-06,3.485261e-06,7.588153e-06,6.8904424e-06,1.4645434e-06,3.2092775e-08,3.2496687e-06,1.6899585e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\79.png,7,6.386398e-07,1.2257649e-06,1.676324e-05,1.1943879e-06,7.8358234e-08,1.8411208e-07,2.0704078e-06,1.0,2.8107112e-05,1.2336479e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\80.png,7,6.5982334e-05,7.836427e-06,3.8077442e-06,1.1260005e-06,2.29745e-05,6.804e-08,1.10023926e-07,1.0,4.5266456e-06,1.2829775e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\81.png,6,0.00035766079,4.1568386e-05,3.2360396e-05,8.8390784e-10,4.369527e-05,7.953576e-05,0.99997854,8.651867e-09,8.932114e-08,0.0018424409
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\82.png,2,2.776109e-06,2.976947e-06,1.0,2.2052914e-06,3.241069e-07,3.7591384e-08,2.4870867e-05,5.35126e-06,1.0096678e-06,5.92611e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\83.png,7,1.6091777e-06,2.442511e-06,4.876662e-06,9.904791e-07,4.6882843e-07,1.085107e-07,1.2587209e-07,1.0,3.3538822e-06,1.0339257e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\8\84.png,8,1.3458875e-06,1.8294084e-05,4.5080565e-06,1.8256885e-06,2.8131865e-06,2.5885097e-06,1.9353672e-06,1.4318565e-05,1.0,6.9844086e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\85.png,4,3.1273535e-07,2.6601793e-07,2.4144267e-08,2.029287e-07,0.9999995,6.1246637e-06,1.3858838e-06,6.5552285e-07,1.505202e-06,1.4049405e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\86.png,7,5.105753e-07,1.6595764e-06,5.346052e-06,9.60214e-07,1.3794474e-07,1.2325869e-07,1.3535511e-07,1.0,3.2144196e-06,9.412877e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\87.png,3,4.7967546e-07,8.945614e-07,1.2996624e-06,1.0,4.7612966e-07,6.3077614e-06,8.6089295e-07,9.1937096e-07,6.3135536e-07,6.2454255e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\88.png,6,4.560978e-06,1.8264357e-06,2.8405733e-05,4.245021e-06,1.54054e-05,4.8820596e-07,0.9999999,2.1190039e-07,1.6303774e-07,8.089449e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\89.png,1,2.8695016e-05,1.0,2.1554504e-07,7.9232464e-08,3.8190615e-06,6.4127603e-06,2.0178252e-06,2.5662146e-05,9.976166e-07,7.9639176e-07
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\90.png,3,4.7858657e-07,1.0943431e-06,2.2704849e-06,1.0,1.2228437e-06,3.7998068e-06,5.6596224e-07,6.512743e-07,1.6419099e-06,1.1791962e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\91.png,6,8.7876543e-07,7.3534113e-07,2.7339394e-05,8.215362e-06,1.8349227e-05,1.2639081e-06,0.9999999,1.9986835e-07,1.4639691e-07,3.067476e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\92.png,9,1.3145907e-07,1.2755965e-05,1.053723e-06,2.1730032e-06,8.237963e-05,7.936297e-07,5.440475e-08,7.96132e-06,3.7890234e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\93.png,3,4.6139096e-05,8.997067e-09,8.648851e-08,0.7434615,2.9315988e-08,5.9066206e-05,1.1276339e-06,5.429362e-07,0.00019197968,0.9999465
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\94.png,1,2.9322528e-05,1.0,1.7395594e-07,6.8936636e-08,3.3732313e-06,7.471273e-06,2.4479211e-06,2.1822612e-05,1.3029969e-06,1.0855483e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\95.png,4,6.489246e-07,1.4151625e-07,3.784274e-08,1.0102798e-07,0.9999995,2.6911262e-06,7.326441e-07,1.154637e-06,2.568765e-06,2.4284393e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\96.png,1,2.757824e-05,1.0,5.0185538e-08,2.559502e-07,5.9830214e-05,8.516202e-06,4.801908e-07,7.9512365e-06,2.8352613e-06,1.1772973e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\97.png,7,7.3068406e-07,1.7674354e-06,5.821152e-06,1.0679086e-06,1.9091898e-07,1.1796306e-07,1.251021e-07,1.0,3.3426297e-06,9.741605e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\98.png,6,4.2942484e-06,6.0990938e-06,1.9316505e-05,4.618739e-06,9.4894995e-06,6.0161077e-05,1.0,2.9714678e-07,3.1641896e-06,9.79195e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\99.png,9,4.5676413e-07,2.6128403e-06,2.3829809e-05,3.1420095e-05,4.62502e-06,1.4648518e-06,7.461079e-09,1.7589385e-06,1.2192618e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\6\100.png,6,1.2415605e-06,1.2971548e-06,2.9784107e-05,5.291984e-06,1.6068e-05,6.848052e-07,0.9999999,3.2249224e-07,8.932096e-08,2.5337748e-08
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\0\101.png,0,0.99999976,1.992934e-05,9.750822e-07,2.5444956e-06,1.3899249e-06,2.4144508e-06,1.06824e-05,7.255727e-07,7.038752e-07,6.0596403e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\5\102.png,5,1.8781016e-07,9.576338e-06,7.0673223e-09,1.493715e-06,2.4798605e-06,1.0,1.4789281e-06,4.9261956e-07,6.0322236e-06,3.928678e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\103.png,4,8.185848e-07,8.391969e-08,4.2075232e-08,7.7704556e-08,0.99999964,1.967246e-06,4.6306377e-07,1.3433267e-06,3.983549e-06,3.5295274e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\104.png,9,0.0020897435,2.0672933e-07,3.220689e-08,1.1323776e-05,1.0292194e-06,0.9997824,5.3914155e-06,2.2741595e-07,1.0217954e-05,0.98144
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\105.png,9,1.0613867e-07,3.9585734e-06,6.0487805e-06,9.152819e-06,5.6453705e-06,1.2943484e-06,1.954852e-08,2.8072934e-06,1.7298945e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\2\106.png,2,2.931316e-05,1.367377e-06,1.0,3.0695257e-05,3.154168e-05,5.5018954e-09,1.881423e-06,2.1315416e-05,3.2262897e-06,2.000731e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\1\107.png,1,0.0001881498,1.0,1.8245957e-07,6.089557e-08,2.2332113e-06,3.649353e-06,4.8187303e-06,1.5793374e-05,2.8895415e-06,1.0997807e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\108.png,9,1.6837646e-08,6.165858e-06,6.6432796e-07,1.728155e-06,7.529153e-06,1.2307738e-06,1.0548155e-07,5.983695e-06,2.7332783e-06,1.0
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\4\109.png,4,9.3533293e-07,7.361552e-08,4.5068212e-08,6.865583e-08,0.99999964,1.6930574e-06,4.1483247e-07,1.5034963e-06,4.538836e-06,3.923303e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\8\110.png,8,4.465557e-07,1.563202e-05,5.231543e-06,2.083129e-06,2.9449031e-06,3.408726e-06,1.287948e-06,1.7133698e-05,1.0,1.8993319e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\7\111.png,7,1.9922638e-06,2.9032753e-06,6.0412513e-06,1.1643923e-06,5.8079263e-07,9.6105445e-08,1.23252e-07,1.0,3.8008832e-06,9.630023e-06
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\3\112.png,3,4.2292834e-07,9.647586e-07,2.6877917e-06,1.0,1.8026524e-06,4.0193054e-06,5.5537555e-07,7.360414e-07,1.7567373e-06,1.2072368e-05
C:\app\neural_network_console_140\samples\sample_dataset\mnist\validation\9\113.png,9,1.9234061e-07,2.993276e-06,9.074632e-06,1.5550362e-05,4.617193e-06,1.5588879e-06,1.606932e-08,2.2720315e-06,1.3733506e-06,1.0
